"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"unknown","CH",202019,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202020,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202021,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202022,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202023,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202024,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202025,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202026,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202027,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202028,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202029,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202030,0,2,0,0,NA,NA,NA,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
