"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"10 - 19","CH",202045,4,76,0.002,0.2,844155,0.47,9,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202046,5,81,0.003,0.3,844155,0.59,9.6,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202047,2,83,0.002,0.2,844155,0.24,9.83,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202048,2,85,0.002,0.2,844155,0.24,10.07,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202049,2,87,0.002,0.2,844155,0.24,10.31,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202050,7,94,0.006,0.6,844155,0.83,11.14,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202051,3,97,0.003,0.3,844155,0.36,11.49,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-51",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202052,2,99,0.002,0.2,844155,0.24,11.73,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-52",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202053,3,102,0.003,0.3,844155,0.36,12.08,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-53",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202101,3,105,0.004,0.4,844155,0.36,12.44,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2021-01",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202102,3,108,0.013,1.3,844155,0.36,12.79,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2021-02",FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202009,6,6,0.115,11.5,1045350,0.57,0.57,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202010,5,11,0.046,4.6,1045350,0.48,1.05,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202011,13,24,0.037,3.7,1045350,1.24,2.3,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202012,18,42,0.022,2.2,1045350,1.72,4.02,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202013,23,65,0.02,2,1045350,2.2,6.22,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202014,12,77,0.018,1.8,1045350,1.15,7.37,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202015,19,96,0.052,5.2,1045350,1.82,9.18,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
