"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"female","CH",202042,20,802,0.465,46.5,4337170,0.46,18.49,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202043,71,873,0.5,50,4337170,1.64,20.13,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202044,135,1008,0.429,42.9,4337170,3.11,23.24,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202045,235,1243,0.435,43.5,4337170,5.42,28.66,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202046,300,1543,0.498,49.8,4337170,6.92,35.58,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202047,265,1808,0.452,45.2,4337170,6.11,41.69,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202048,268,2076,0.453,45.3,4337170,6.18,47.87,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202049,278,2354,0.489,48.9,4337170,6.41,54.28,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202050,280,2634,0.487,48.7,4337170,6.46,60.73,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202051,313,2947,0.519,51.9,4337170,7.22,67.95,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-51",TRUE,TRUE,TRUE,TRUE,FALSE
"female","CH",202052,277,3224,0.497,49.7,4337170,6.39,74.33,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-52",TRUE,TRUE,TRUE,TRUE,FALSE
"female","CH",202053,222,3446,0.479,47.9,4337170,5.12,79.45,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-53",TRUE,TRUE,TRUE,TRUE,TRUE
